note_id	system	subsystem	panel_group	panel_name	function_type	prompt	answer	normal_state	failure_logic	affects_bus	powered_by	interacts_with	source	ref_section	tags	status	notes
sys-elec-fail-053	B737 Electrical	Electrical — General (cross-subsystem)	Overhead – Electrical	CAB/UTIL switch (used for restoration)	failure-logic	APU on the ground with overload sensed: what does the APU shed, and how can you attempt restoration?	Sheds galley buses and main buses until load is within limits. Restoration can be attempted by moving CAB/UTIL switch OFF then back ON.		Ground APU overload: sheds galley+main until within limits; restoration attempt via CAB/UTIL OFF → ON.	galley buses; main buses	APU generator; external power (context: ground)	CAB/UTIL switch	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.4 (APU Automatic Load Shedding)	common systems llights-switches verbatim format_bullets	draft	
sys-elec-psc-061	B737 Electrical	Electrical — General (cross-subsystem)			concept	TR units convert what to what?	Convert 115V AC to 28V DC.			DC system (28V DC distribution)		AC buses; DC buses	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Transformer Rectifier Units)	common systems verbatim	draft	If you later create device cards, consider tags like device:TR.
sys-elec-psc-064	B737 Electrical	Electrical — General (cross-subsystem)			concept	How many TRs are required to supply the total connected load?	Any two TRs are capable of supplying the total connected load.						B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Transformer Rectifier Units)	common systems	draft	Reliability concept: 2 TRs can carry total connected DC load (3rd provides redundancy margin).
sys-elec-psc-066	B737 Electrical	Electrical — General (cross-subsystem)			concept	Under normal conditions, what does TR3 power and what is its role?	TR3 powers the battery bus and serves as a backup power source for TR1 and TR2.	TR3 powers the battery bus and serves as a backup power source for TR1 and TR2.		battery bus	battery	TR1; TR2	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (DC buses / TR3)	common systems	draft	TR3 normally powers battery bus; can back up TR1/TR2 if they fail.
sys-elec-fail-067	B737 Electrical	Electrical — General (cross-subsystem)	Overhead – Electrical	BUS TRANSFER switch	failure-logic	Under which two conditions does the cross bus tie relay open?	At glideslope capture during a flight director or autopilot ILS approach; and when the BUS TRANSFER switch is positioned to OFF.		At glideslope capture during a flight director or autopilot ILS approach; and when the BUS TRANSFER switch is positioned to OFF.			cross bus tie relay; BUS TRANSFER switch; ILS logic (GS capture)	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Cross bus tie relay) + §6.10.4 (BUS TRANSFER OFF)	common systems verbatim format_bullets	draft	Consider splitting into 2 bullets: (1) GS capture condition; (2) BUS TRANSFER OFF condition.
sys-elec-ind-068	B737 Electrical	Electrical — General (cross-subsystem)	Overhead – Electrical	TR UNIT light	indication	TR UNIT light: when does it illuminate in flight vs on the ground?	In flight: illuminates if: [TR1 OR  (TR2 AND TR3)]  has failed. On the ground: any TR fault causes the light to illuminate.	In flight: illuminates if: [TR1 OR  (TR2 AND TR3)]  has failed. On the ground: any TR fault causes the light to illuminate.		TR1; TR2; TR3		TR1; TR2; TR3	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (TR UNIT light logic)	common systems llights-switches verbatim format_bullets	draft	
sys-elec-ind-070	B737 Electrical	Electrical — General (cross-subsystem)	Overhead – Electrical	ELEC light	indication	ELEC light: what does it indicate on the ground and in-flight?	On the ground: indicates a fault exists in the DC power system or standby power system. In flight: ELEC light is inhibited.	On the ground: indicates a fault exists in the DC power system or standby power system. In flight: ELEC light is inhibited.				DC power system; standby power system	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (DC Power System)	common systems llights-switches verbatim format_bullets	draft	 In flight inhibited (good as-is)
sys-elec-psc-097	B737 Electrical	Electrical — General (cross-subsystem)			concept	What does the Static Inverter do?	Converts 24V DC from the battery to 115V AC to supply the AC standby bus during loss of normal electrical power.			AC standby bus	battery (24V DC)	Standby Power System	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6–6.20.6 (Static Inverter)	common systems verbatim	draft	
sys-elec-psc-098	B737 Electrical	Electrical — General (cross-subsystem)	Overhead – Electrical	STANDBY POWER switch; BAT switch	concept	What controls the Static Inverter's power supply?	The standby power switch and the battery switch on the overhead panel.				battery; static inverter	static inverter	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6–6.20.6 (Static Inverter)	common systems verbatim	draft	
sys-elec-swt-110	B737 Electrical	Electrical — General (cross-subsystem)	Forward Attendant Panel	GROUND SERVICE switch	control	What does the GROUND SERVICE do?	Connects/disconnects external power to the ground service buses without activating AC transfer buses.			ground service buses	External Power		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.5 (Ground Service Switch)	common systems llights-switches	draft	
sys-elec-ind-130	B737 Electrical	Electrical — General (cross-subsystem)	Overhead – Electrical	GRD POWER AVAILABLE light	indication	What does the GRD POWER AVAILABLE light mean?	Ground power is connected and meets airplane power quality standards.	Ground power is connected and meets airplane power quality standards.			external power	External Power	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GRD POWER AVAILABLE light)	common systems llights-switches verbatim	draft	
sys-elec-ind-134	B737 Electrical	Electrical — General (cross-subsystem)			indication	What does the SOURCE OFF light indicate?	No source has been manually selected to power the related AC transfer bus, or the manually selected source has been disconnected.	No source has been manually selected to power the related AC transfer bus, or the manually selected source has been disconnected.					B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (SOURCE OFF lights)	common systems llights-switches verbatim	draft	
sys-elec-psc-011	B737 Electrical	Standby Power			concept	Which AC transfer bus powers the AC standby bus under normal conditions?	Transfer bus 1 supplies the AC standby bus.	Transfer bus 1 supplies the AC standby bus.		AC transfer bus 1; AC standby bus			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)	common systems	draft	
sys-elec-psc-065	B737 Electrical	Standby Power			concept	Under normal conditions, how are DC bus 1, DC bus 2, and the DC standby buses powered? How are they connected to one another?	.TR1 and TR2 each power DC bus 1, DC bus 2, and the DC standby bus. They are connected via the cross bus tie relay; 	.TR1 and TR2 each power DC bus 1, DC bus 2, and the DC standby bus. They are connected via the cross bus tie relay; 		TR1; TR2; DC bus 1; DC bus 2; DC buses			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (DC buses / cross bus tie relay)	common systems format_bullets	draft	
sys-elec-psc-080	B737 Electrical	Standby Power			concept	What is the chemistry and nominal voltage of the battery? Where is it located?	24V nickel-cadmium battery;  located in the electronics compartment.				battery		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power – Single Battery)	common systems verbatim format_bullets	draft	
sys-elec-psc-081	B737 Electrical	Standby Power			concept	How long is the fully-charged battery capable of providing standby power?	Minimum of 30 minutes.				battery		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power – capacity)	common systems verbatim	draft	
sys-elec-psc-082	B737 Electrical	Standby Power			concept	What is the battery voltage range?	22–30 volts.				battery		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power – voltage range)	common systems verbatim	draft	
sys-elec-fail-083	B737 Electrical	Standby Power			failure-logic	After loss of both generators, which DC buses does the battery power?	Battery bus; DC standby bus;Hot battery bus; Switched hot battery bus.		Battery bus; DC standby bus;Hot battery bus; Switched hot battery bus.	battery bus; DC buses	battery		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power – buses powered)	common systems verbatim format_bullets	draft	
sys-elec-psc-084	B737 Electrical	Standby Power			concept	When is the Switched Hot Battery Bus powered?	Whenever the battery switch is ON.			battery bus	battery		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power)	common systems llights-switches	draft	
sys-elec-psc-085	B737 Electrical	Standby Power			concept	How is the Hot Battery Bus connected to the battery?	Directly.			battery bus	battery		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power)	common systems	draft	
sys-elec-psc-090	B737 Electrical	Standby Power			concept	What does the Standby Power System provide and when?	Provides 115V AC and 24V DC power to essential systems in the event of loss of all engine or APU-driven AC power.				APU generator		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby Power System – Normal Operation)	common systems verbatim	draft	
sys-elec-psc-091	B737 Electrical	Standby Power			concept	What are the components (2) and buses (5) that comprise the Standby Power System	Static inverter;  main battery.; AC standby bus; DC standby bus; battery bus; hot battery bus; switched hot battery bus.			battery bus; AC standby bus	battery; static inverter		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby Power System – components)	common systems format_bullets	draft	
sys-elec-psc-092	B737 Electrical	Standby Power			concept	With both AC Transfer Buses powered by their generators and the guards down on the BAT and STANDBY POWER switches, what powers the following buses: AC Standby Bus; DC Standby Bus; Battery Bus; Hot Battery Bus; Switched Hot Battery Bus? 	In the Normal Standby Power System Configuration, what powers the following buses?  AC Standby Bus: AC Transfer Bus #1; DC Standby Bus: TR1, TR2, and TR3; Battery Bus: TR3; Hot Battery Bus: Battery and/or Battery Charger; Switched Hot Battery Bus: Battery and/or Battery Charger. 			AC transfer buses; battery bus; AC standby bus; TR1; TR2; TR3	battery		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby Power System – normal conditions)	common systems special-formatting	draft	
sys-elec-fail-093	B737 Electrical	Standby Power			failure-logic	With the loss of all AC generators and the guards down on the BATTERY  and STANDBY POWER switches, what powers the following buses: AC Standby Bus; DC Standby Bus; Battery Bus; Hot Battery Bus; Switched Hot Battery Bus? 	With the loss of all AC generators and the guards down on the BATTERY  and STANDBY POWER switches, what powers the following buses: AC Standby Bus: Battery via static inverter; DC Standby Bus: battery; Battery Bus: battery; Hot Battery Bus: battery; Switched Hot Battery Bus: battery? 		With the loss of all AC generators and the guards down on the BATTERY  and STANDBY POWER switches, what powers the following buses: AC Standby Bus: Battery via static inverter; DC Standby Bus: battery; Battery Bus: battery; Hot Battery Bus: battery; Switched Hot Battery Bus: battery? 	battery bus; AC standby bus	battery; static inverter		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby Power System – alternate operation)	common systems special-formatting	draft	
sys-elec-swt-094	B737 Electrical	Standby Power	Overhead – Electrical	Standby power switch	control	Standby power switch — AUTO: when does automatic switching from normal to alternate occur?	If power from either AC transfer bus 1 or DC bus 1 is lost.			AC transfer bus 1; DC bus 1; DC buses			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby power switch – AUTO logic)	common systems llights-switches verbatim	draft	
sys-elec-swt-095	B737 Electrical	Standby Power	Overhead – Electrical	Standby power switch	control	Standby power switch — BAT: what does it do (and what happens if BAT switch is OFF)?	Overrides automatic switching and places AC standby bus, DC standby bus, and battery bus on battery power. Battery switch may be ON or OFF; if battery switch is OFF, the switched hot battery bus is not powered.			battery bus; AC standby bus	battery		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby power switch – BAT)	common systems llights-switches verbatim	draft	
sys-elec-swt-096	B737 Electrical	Standby Power	Overhead – Electrical	Standby power switch	control	Standby power switch — OFF: what happens?	De-energizes AC standby bus and DC standby bus and illuminates the STANDBY PWR OFF light.			AC standby bus			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby power switch – OFF)	common systems llights-switches verbatim	draft	
